search.year,ID,Authors,Ttitle,Journal,Vol,DOI,Year
2016,1,"Ogburn, R. Matthew; Edwards, Erika J.",Life history lability underlies rapid climate niche evolution in the angiosperm clade Montiaceae,MOLECULAR PHYLOGENETICS AND EVOLUTION,92,10.1016/j.ympev.2015.06.006,2015
2016,2,"Lehmann, D.; Mfune, J. K. E.; Gewers, E.; Brain, C.; Voigt, C. C.",Individual variation of isotopic niches in grazing and browsing desert ungulates,OECOLOGIA,179,10.1007/s00442-015-3335-1,2015
2016,3,"Romero, Gustavo Q.; Goncalves-Souza, Thiago; Vieira, Camila; Koricheva, Julia",Ecosystem engineering effects on species diversity across ecosystems: a meta-analysis,BIOLOGICAL REVIEWS,90,10.1111/brv.12138,2015
2016,4,"Martorell, Carlos; Almanza-Celis, Citlali A. I.; Perez-Garcia, Eduardo A.; Sanchez-Ken, Jorge G.","Co-existence in a species-rich grassland: competition, facilitation and niche structure over a soil depth gradient",JOURNAL OF VEGETATION SCIENCE,26,10.1111/jvs.12283,2015
2016,5,"Pugnaire, Francisco I.; Zhang, Lin; Li, Ruicheng; Luo, Tianxiang",No evidence of facilitation collapse in the Tibetan plateau,JOURNAL OF VEGETATION SCIENCE,26,10.1111/jvs.12233,2015
2016,6,"Horn, James W.; Xi, Zhenxiang; Riina, Ricarda; Peirson, Jess A.; Yang, Ya; Dorsey, Brian L.; Berry, Paul E.; Davis, Charles C.; Wurdack, Kenneth J.",Evolutionary bursts in Euphorbia (Euphorbiaceae) are linked with photosynthetic pathway,EVOLUTION,68,10.1111/evo.12534,2014
2016,7,"Carvajal, Danny E.; Loayza, Andrea P.; Lopez, Ramiro P.; Toro, Pablo J.; Squeo, Francisco A.",Growth and early seedling survival of four Atacama Desert shrub species under experimental light and water availability regimes,REVISTA CHILENA DE HISTORIA NATURAL,87,10.1186/s40693-014-0028-9,2014
2016,8,"Ignace, Danielle D.; Chesson, Peter",Removing an invader: evidence for forces reassembling a Chihuahuan Desert ecosystem,ECOLOGY,95,,2014
2016,9,"Coleman-Derr, Devin; Tringe, Susannah G.",Building the crops of tomorrow: advantages of symbiont-based approaches to improving abiotic stress tolerance,FRONTIERS IN MICROBIOLOGY,5,10.3389/fmicb.2014.00283,2014
2016,10,"He, Qiang; Bertness, Mark D.","Extreme stresses, niches, and positive species interactions along stress gradients",ECOLOGY,95,,2014
2016,11,"Alvarez-Yepiz, Juan C.; Burquez, Alberto; Dovciak, Martin",Ontogenetic shifts in plant-plant interactions in a rare cycad within angiosperm communities,OECOLOGIA,175,10.1007/s00442-014-2929-3,2014
2016,12,"Cipriotti, Pablo A.; Aguiar, Martin R.; Wiegand, Thorsten; Paruelo, Jose M.",A complex network of interactions controls coexistence and relative abundances in Patagonian grass-shrub steppes,JOURNAL OF ECOLOGY,102,10.1111/1365-2745.12246,2014
2016,13,"Jara-Arancio, Paola; Arroyo, Mary T. K.; Guerrero, Pablo C.; Hinojosa, Luis F.; Arancio, Gina; Mendez, Marco A.",Phylogenetic perspectives on biome shifts in Leucocoryne (Alliaceae) in relation to climatic niche evolution in western South America,JOURNAL OF BIOGEOGRAPHY,41,10.1111/jbi.12186,2014
2016,14,"Coleman-Derr, Devin; Tringe, Susannah G",Building the crops of tomorrow: advantages of symbiont-based approaches to improving abiotic stress tolerance.,Frontiers in microbiology,5,10.3389/fmicb.2014.00283,2014
2016,15,"Porceddu, Marco; Mattana, Efisio; Pritchard, Hugh W.; Bacchetta, Gianluigi",Thermal niche for in situ seed germination by Mediterranean mountain streams: model prediction and validation for Rhamnus persicifolia seeds,ANNALS OF BOTANY,112,10.1093/aob/mct238,2013
2016,16,"Kulmatiski, Andrew; Beard, Karen H.",Woody plant encroachment facilitated by increased precipitation intensity,NATURE CLIMATE CHANGE,3,10.1038/NCLIMATE1904,2013
2016,17,"Gross, Nicolas; Boerger, Luca; Soriano-Morales, Sara I.; Le Bagousse-Pinguet, Yoann; Quero, Jose L.; Garcia-Gomez, Miguel; Valencia-Gomez, Enrique; Maestre, Fernando T.",Uncovering multiscale effects of aridity and biotic interactions on the functional structure of Mediterranean shrublands,JOURNAL OF ECOLOGY,101,10.1111/1365-2745.12063,2013
2016,18,"Martinez-Tilleria, Karina; Loayza, Andrea P.; Sandquist, Darren R.; Squeo, Francisco A.",No evidence of a trade-off between drought and shade tolerance in seedlings of six coastal desert shrub species in north-central Chile,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01427.x,2012
2016,19,"Soliveres, Santiago; Torices, Ruben; Maestre, Fernando T.",Environmental conditions and biotic interactions acting together promote phylogenetic randomness in semi-arid plant communities: new methods help to avoid misleading conclusions,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01410.x,2012
2016,20,"Higgins, Steven I.; Delgado-Cartay, Maria D.; February, Edmund C.; Combrink, Hendrik J.",Is there a temporal niche separation in the leaf phenology of savanna trees and grasses?,JOURNAL OF BIOGEOGRAPHY,38,10.1111/j.1365-2699.2011.02549.x,2011
2016,21,"He, Qiang; Cui, Baoshan; An, Yuan",The importance of facilitation in the zonation of shrubs along a coastal salinity gradient,JOURNAL OF VEGETATION SCIENCE,22,10.1111/j.1654-1103.2011.01300.x,2011
2016,22,"Kambatuku, Jack R.; Cramer, Michael D.; Ward, David",Savanna tree-grass competition is modified by substrate type and herbivory,JOURNAL OF VEGETATION SCIENCE,22,10.1111/j.1654-1103.2010.01239.x,2011
2016,23,"Butterfield, Bradley J.; Briggs, John M.",Regeneration niche differentiates functional strategies of desert woody plant species,OECOLOGIA,165,10.1007/s00442-010-1741-y,2011
2016,24,"Soliveres, Santiago; Eldridge, David J.; Maestre, Fernando T.; Bowker, Matthew A.; Tighe, Matthew; Escudero, Adrian",Microhabitat amelioration and reduced competition among understorey plants as drivers of facilitation across environmental gradients: Towards a unifying framework,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,13,10.1016/j.ppees.2011.06.001,2011
2016,25,"Verdu, Miguel; Jordano, Pedro; Valiente-Banuet, Alfonso",The phylogenetic structure of plant facilitation networks changes with competition,JOURNAL OF ECOLOGY,98,10.1111/j.1365-2745.2010.01731.x,2010
2016,26,"Cipriotti, P. A.; Aguiar, M. R.",Resource partitioning and interactions enable coexistence in a grass-shrub steppe,JOURNAL OF ARID ENVIRONMENTS,74,10.1016/j.jaridenv.2010.05.006,2010
2016,27,"Bowker, Matthew A.; Soliveres, Santiago; Maestre, Fernando T.",Competition increases with abiotic stress and regulates the diversity of biological soil crusts,JOURNAL OF ECOLOGY,98,10.1111/j.1365-2745.2010.01647.x,2010
2016,28,"McLeish, M. J.; Van Noort, S.; Tolley, K. A.",Parasitoid fig-wasp evolutionary diversification and variation in ecological opportunity,MOLECULAR ECOLOGY,19,10.1111/j.1365-294X.2010.04583.x,2010
2016,29,"Diaz-Sierra, R.; Zavala, M. A.; Rietkerk, M.","Positive interactions, discontinuous transitions and species coexistence in plant communities",THEORETICAL POPULATION BIOLOGY,77,10.1016/j.tpb.2009.12.001,2010
2016,30,"Soliveres, S.; DeSoto, L.; Maestre, F. T.; Olano, J. M.",Spatio-temporal heterogeneity in abiotic factors modulate multiple ontogenetic shifts between competition and facilitation,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,12,10.1016/j.ppees.2010.02.003,2010
2016,31,"Gomez-Aparicio, Lorena",The role of plant interactions in the restoration of degraded ecosystems: a meta-analysis across life-forms and ecosystems,JOURNAL OF ECOLOGY,97,10.1111/j.1365-2745.2009.01573.x,2009
2016,32,"Uriankhai, Tselmeg; Liu Mao-Song; Huang Zheng; Chen Bin; Zhang Ming-Juan; Xu Chi",DISTRIBUTION PATTERN OF ROOT BIOMASS AND INTER-SPECIFIC RELATIONSHIP IN ACHNATHERUM SPLENDENS-SOPHORA ALOPECUROIDES COMMUNITY IN NORTHWEST CHINA,Chinese Journal of Plant Ecology,33,10.3773/j.issn.1005-264x.2009.04.013,2009
2016,33,"Maestre, Fernando T.; Callaway, Ragan M.; Valladares, Fernando; Lortie, Christopher J.",Refining the stress-gradient hypothesis for competition and facilitation in plant communities,JOURNAL OF ECOLOGY,97,10.1111/j.1365-2745.2008.01476.x,2009
2016,34,"Eranen, Janne K.; Kozlov, Mikhail V.",Interactions between mountain birch seedlings from differentiated populations in contrasting environments of subarctic Russia,PLANT ECOLOGY,200,10.1007/s11258-008-9441-y,2009
2016,35,"Kefi, Sonia; van Baalen, Minus; Rietkerk, Max; Loreau, Michel",Evolution of local facilitation in arid ecosystems,AMERICAN NATURALIST,172,10.1086/588066,2008
2016,36,"Valiente-Banuet, Alfonso; Verdu, Miguel",Temporal shifts from facilitation to competition occur between closely related taxa,JOURNAL OF ECOLOGY,96,10.1111/j.1365-2745.2008.01357.x,2008
2016,37,"Mamolos, AP",Temporal differentiation in maximum biomass and nutrient accumulation rates in two coexisting annual plant species,JOURNAL OF ARID ENVIRONMENTS,64,10.1016/j.jaridenv.2005.06.017,2006
2016,38,"Farji-Brener, AG; Ghermandi, L",Seedling recruitment in a semi-arid Patagonian steppe: Facilitative effects of refuse dumps of leaf-cutting ants,JOURNAL OF VEGETATION SCIENCE,15,10.1658/1100-9233(2004)015[0823:SRIASP]2.0.CO;2,2004
2016,39,"Gillespie, IG; Loik, ME",Pulse events in Great Basin Desert shrublands: physiological responses of Artemisia tridentata and Purshia tridentata seedlings to increased summer precipitation,JOURNAL OF ARID ENVIRONMENTS,59,10.1016/j.jaridenv.2004.01.007,2004
