search.year,ID,Authors,Title,Journal,Vol,DOI,Year
2017,1,"Maestre, Fernando T.; Callaway, Ragan M.; Valladares, Fernando; Lortie, Christopher J.",Refining the stress-gradient hypothesis for competition and facilitation in plant communities,JOURNAL OF ECOLOGY,97,10.1111/j.1365-2745.2008.01476.x,2009
2017,2,"Gomez-Aparicio, Lorena",The role of plant interactions in the restoration of degraded ecosystems: a meta-analysis across life-forms and ecosystems,JOURNAL OF ECOLOGY,97,10.1111/j.1365-2745.2009.01573.x,2009
2017,3,"Valiente-Banuet, Alfonso; Verdu, Miguel",Temporal shifts from facilitation to competition occur between closely related taxa,JOURNAL OF ECOLOGY,96,10.1111/j.1365-2745.2008.01357.x,2008
2017,4,"Soliveres, S.; DeSoto, L.; Maestre, F. T.; Olano, J. M.",Spatio-temporal heterogeneity in abiotic factors modulate multiple ontogenetic shifts between competition and facilitation,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,12,10.1016/j.ppees.2010.02.003,2010
2017,5,"Soliveres, Santiago; Eldridge, David J.; Maestre, Fernando T.; Bowker, Matthew A.; Tighe, Matthew; Escudero, Adrian",Microhabitat amelioration and reduced competition among understorey plants as drivers of facilitation across environmental gradients: Towards a unifying framework,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,13,10.1016/j.ppees.2011.06.001,2011
2017,6,"Bowker, Matthew A.; Soliveres, Santiago; Maestre, Fernando T.",Competition increases with abiotic stress and regulates the diversity of biological soil crusts,JOURNAL OF ECOLOGY,98,10.1111/j.1365-2745.2010.01647.x,2010
2017,7,"MONTANA, C; CAVAGNARO, B; BRIONES, O","SOIL-WATER USE BY COEXISTING SHRUBS AND GRASSES IN THE SOUTHERN CHIHUAHUAN DESERT, MEXICO",JOURNAL OF ARID ENVIRONMENTS,31,10.1006/jare.1995.0043,1995
2017,8,"He, Qiang; Bertness, Mark D.","Extreme stresses, niches, and positive species interactions along stress gradients",ECOLOGY,95,,2014
2017,9,"Kulmatiski, Andrew; Beard, Karen H.",Woody plant encroachment facilitated by increased precipitation intensity,NATURE CLIMATE CHANGE,3,10.1038/NCLIMATE1904,2013
2017,10,"Gross, Nicolas; Boerger, Luca; Soriano-Morales, Sara I.; Le Bagousse-Pinguet, Yoann; Quero, Jose L.; Garcia-Gomez, Miguel; Valencia-Gomez, Enrique; Maestre, Fernando T.",Uncovering multiscale effects of aridity and biotic interactions on the functional structure of Mediterranean shrublands,JOURNAL OF ECOLOGY,101,10.1111/1365-2745.12063,2013
2017,11,"Farji-Brener, AG; Ghermandi, L",Seedling recruitment in a semi-arid Patagonian steppe: Facilitative effects of refuse dumps of leaf-cutting ants,JOURNAL OF VEGETATION SCIENCE,15,10.1658/1100-9233(2004)015[0823:SRIASP]2.0.CO;2,2004
2017,12,"Butterfield, Bradley J.; Briggs, John M.",Regeneration niche differentiates functional strategies of desert woody plant species,OECOLOGIA,165,10.1007/s00442-010-1741-y,2011
2017,13,"Mortimer, SR; Van der Putten, WH; Brown, VK",Insect and nematode herbivory below ground: interactions and role in vegetation succession,HERBIVORES: BETWEEN PLANTS AND PREDATORS,,,1999
2017,14,"Kefi, Sonia; van Baalen, Minus; Rietkerk, Max; Loreau, Michel",Evolution of local facilitation in arid ecosystems,AMERICAN NATURALIST,172,10.1086/588066,2008
2017,15,"Paez, SA; Marco, DE",Seedling habitat structure in dry Chaco forest (Argentina),JOURNAL OF ARID ENVIRONMENTS,46,10.1006/jare.2000.0648,2000
2017,16,"Verdu, Miguel; Jordano, Pedro; Valiente-Banuet, Alfonso",The phylogenetic structure of plant facilitation networks changes with competition,JOURNAL OF ECOLOGY,98,10.1111/j.1365-2745.2010.01731.x,2010
2017,17,"Horn, James W.; Xi, Zhenxiang; Riina, Ricarda; Peirson, Jess A.; Yang, Ya; Dorsey, Brian L.; Berry, Paul E.; Davis, Charles C.; Wurdack, Kenneth J.",Evolutionary bursts in Euphorbia (Euphorbiaceae) are linked with photosynthetic pathway,EVOLUTION,68,10.1111/evo.12534,2014
2017,18,"Coleman-Derr, Devin; Tringe, Susannah G.",Building the crops of tomorrow: advantages of symbiont-based approaches to improving abiotic stress tolerance,FRONTIERS IN MICROBIOLOGY,5,10.3389/fmicb.2014.00283,2014
2017,19,"Kambatuku, Jack R.; Cramer, Michael D.; Ward, David",Savanna tree-grass competition is modified by substrate type and herbivory,JOURNAL OF VEGETATION SCIENCE,22,10.1111/j.1654-1103.2010.01239.x,2011
2017,20,"Gillespie, IG; Loik, ME",Pulse events in Great Basin Desert shrublands: physiological responses of Artemisia tridentata and Purshia tridentata seedlings to increased summer precipitation,JOURNAL OF ARID ENVIRONMENTS,59,10.1016/j.jaridenv.2004.01.007,2004
2017,21,"He, Qiang; Cui, Baoshan; An, Yuan",The importance of facilitation in the zonation of shrubs along a coastal salinity gradient,JOURNAL OF VEGETATION SCIENCE,22,10.1111/j.1654-1103.2011.01300.x,2011
2017,22,"Diaz-Sierra, R.; Zavala, M. A.; Rietkerk, M.","Positive interactions, discontinuous transitions and species coexistence in plant communities",THEORETICAL POPULATION BIOLOGY,77,10.1016/j.tpb.2009.12.001,2010
2017,23,"McLeish, M. J.; Van Noort, S.; Tolley, K. A.",Parasitoid fig-wasp evolutionary diversification and variation in ecological opportunity,MOLECULAR ECOLOGY,19,10.1111/j.1365-294X.2010.04583.x,2010
2017,24,"Romero, Gustavo Q.; Goncalves-Souza, Thiago; Vieira, Camila; Koricheva, Julia",Ecosystem engineering effects on species diversity across ecosystems: a meta-analysis,BIOLOGICAL REVIEWS,90,10.1111/brv.12138,2015
2017,25,"Martinez-Tilleria, Karina; Loayza, Andrea P.; Sandquist, Darren R.; Squeo, Francisco A.",No evidence of a trade-off between drought and shade tolerance in seedlings of six coastal desert shrub species in north-central Chile,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01427.x,2012
2017,26,"Jara-Arancio, Paola; Arroyo, Mary T. K.; Guerrero, Pablo C.; Hinojosa, Luis F.; Arancio, Gina; Mendez, Marco A.",Phylogenetic perspectives on biome shifts in Leucocoryne (Alliaceae) in relation to climatic niche evolution in western South America,JOURNAL OF BIOGEOGRAPHY,41,10.1111/jbi.12186,2014
2017,27,"Soliveres, Santiago; Torices, Ruben; Maestre, Fernando T.",Environmental conditions and biotic interactions acting together promote phylogenetic randomness in semi-arid plant communities: new methods help to avoid misleading conclusions,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01410.x,2012
2017,28,"Porceddu, Marco; Mattana, Efisio; Pritchard, Hugh W.; Bacchetta, Gianluigi",Thermal niche for in situ seed germination by Mediterranean mountain streams: model prediction and validation for Rhamnus persicifolia seeds,ANNALS OF BOTANY,112,10.1093/aob/mct238,2013
