ID,topic,expansion.mechanism,niche.concept,application,niche.measurement,benefactor,benefactor.life.form,benefactor.family,beneficiary,beneficiary.life.form,beneficiary.family,ecosystem,lat,long,country,elevation.m
2,Niche characterization,Spatial niche of occurrence,regeneration,SDMs for conservation planning and restoration,Field data plus WorldClim,Amygdalus pedunculata,shrub,Rosaceae,several,understory herbs,,semi-arid,,,China,
3,Niche characterization,Spatial niche of occurrence,regeneration,SDMs with climate change and restoration,"Field surveys on shrubs, their sociability traits, a PCA to select species, and then MaxEnt on selected desired shrubs, with WorldClim and scenario 2 climate change",Acacia schaffneri,shrub,Fabaceae,Not evaluated,,,semi-arid shrubland,20.5,-99.16666667,Mexico,
5,Niche partioning and interactions,Spatilal niche (hydrological niche with depth),segregation direct,Coexistence,Depth gradient and models of niche overlap,Several shurb species,shrub,,several grass species,herbs,,semi-arid grassland,17.88333333,-97.4,Mexico,2200
9,Niche changes over ontogeny and inter-specific facilitation,Temporal niche (regeneration niche),regeneration,Coexistence and rare endangered species conservation,"Seedling monitoring at different microsites, and spatial association",Dioon sonorense,shrub,Zamiaceae,Dioon sonorense,shrub-like gymnosperm,Zamiaceae,semi-arid forest,27.5,-108.75,Mexico,1000
10,Environmental niche: shade and rainfall of four shrubs,Regeneration niche,regeneration,Plant recruitment with climate change implications,Field experiment manipulating shade and rainfall on seedlings,Calliandra chilensis,shrub,Fabaceae,Not evaluated,,,arid steppe,-29.71666667,-71.23333333,Chile,300
11,Coexistence in grass-shrub steppes,"Spatiotemporal niche (space: depth, time: regeneration)",spatiotemporal,Coexistence,Modeling with confirmation from empirical data,Mulinum spinosum,shrub,Apiaceae,Pappostipa speciosa,grass,Poaceae,semi-arid steppe,-45.68333333,-70.26666667,Argentina,500
15,Niche differentiation/segregation in a shrubland,Spatial niche via traits,segregation direct,coexistence,Multi-scale analysis of shrub-understory relationships using perennials and their traits,Rosmarinus officinalis,shrub,Lamiaceae,several perennials,herbs,,semi-arid shrubland,,,Spain,
16,Niche partioning in tree-grass interactions,Spatial niche (hydrological niche),segregation direct,"Climate change, encroachment, desertification",Precipitation manipulations to estimate water distribution in the soil profile in relation shrub and grasses use,Several shurb species,shrub,,several grass species,grass,,semi-arid savannah,-24.39258,31.77953,South Africa,
20,Niche partioning among shrub-annuals and biological crusts,Spatial niche sampled along 3 years (spatiotemporal),spatiotemporal,Coexistence and community assembly,Field surveys on shrubs using quadrats and coexistence models,Stipa tenacissima,tussock grass,Poaceae,several annuals,herbs,,semi-arid steppe,40.03333333,-3.616666667,Spain,590
21,Regeneration niche of six shrubs using one-week-old seedlings,Regeneration niche (temporal niche),regeneration,Shrub recruitment and climate change,"Field experiment manipulating shade and rainfall, measuring survival over 22 weeks and traits",Centaurea chilensis,shrub,Asteraceae,Not evaluated,,,semi-arid shrubland,-29.71666667,-71.23333333,Chile,300
22,Opposing effects on interactions (increased phylogenetic dispersion) and environment (clustered PD) in determing phylogenetic patterns,Evolutionary niche (niche partioning through time),evolutionary,Coexistence and community assembly,Vegetation surveys combined with climate models and phylogenetic structure metrics. Co-occurrence models also used,Stipa tenacissima,tussock grass,Poaceae,several perennials,herbs,,semi-arid grassland,38.58333333,-1.666666667,Spain,
23,Different regeneration niches according to nurse requirement are functionally different,Regeneration niche,regeneration,Coexistence and regeneration,Greenhouse and field experiments on 20-54 shrub species (respectively) to estimate their traits,20-54 shrub species,shrub,,Not evaluated,,,,,,USA,
25,Phenology studies on leaf deployment using NDVI between grasses and trees in relation to temperature,Temporal niche (segregation in time),segregation direct,Remote sensing,Remote sensing on satellite imagery to estimate phenological mismatch,Several trees,tree,,Several grasses,,,semi-arid savannah,-25.094,31.417,South Africa,450
26,Niche differentiation in relation to tree-grass interactions and herbivory/substrate,Spatial niche,segregation direct,Coexitence and shrub encroachment,"Greenhouse experiment manipulating competition, substrate and herbivory (clipping)",Acacia mellifera,tree,Fabaceae,Eragrostis curvula,grass,Poaceae,semi-arid savannah,,,many,
27,Direct and indirect effects (niche segregation) in shrub-understory systems,Spatial niche (indirect effects within canopies),indirect niche,"Coexistence, community assembly and prediction",Vegetation surveys combined with climate models and phylogenetic structure metrics. Co-occurrence models also used,Stipa tenacissima,tussock grass,Poaceae,,,,semi-arid steppe,,,Spain,
29,Niche partioning through time,Spatiotemporal niche (spatial partioning changing through time),spatiotemporal,Coexistence,Vegetation surveys over time with spatially explicit stats. Removals at the beginnng,Several shrubs,shrub,,several grasses,grass,,arid steppe,-45.68333333,-70.26666667,Argentina,500
