search.year,ID,Author,Title,Journal,Vol,DOI,Year
2016,1,"Agarwar, Ishan; Goyal, Surendra P.; Qureshi, Qamar",Lizards of the Thar Desert - Resource partitioning and community composition,JOURNAL OF ARID ENVIRONMENTS,118,10.1016/j.jaridenv.2015.03.003,2015
2016,2,"Chu, Jianmin; Yang, Hongxiao; Lu, Qi; Zhang, Xiaoyan",Endemic shrubs in temperate arid and semiarid regions of northern China and their potentials for rangeland restoration,AOB PLANTS,7,10.1093/aobpla/plv063,2015
2016,3,"Gelviz-Gelvez, Sandra M.; Pavon, Numa P.; Illoldi-Rangel, Patricia; Ballesteros-Barrera, Claudia",Ecological niche modeling under climate change to select shrubs for ecological restoration in Central Mexico,ECOLOGICAL ENGINEERING,74,10.1016/j.ecoleng.2014.09.082,2015
2016,4,"Lehmann, D.; Mfune, J. K. E.; Gewers, E.; Brain, C.; Voigt, C. C.",Individual variation of isotopic niches in grazing and browsing desert ungulates,OECOLOGIA,179,10.1007/s00442-015-3335-1,2015
2016,5,"Martorell, Carlos; Almanza-Celis, Citlali A. I.; Perez-Garcia, Eduardo A.; Sanchez-Ken, Jorge G.","Co-existence in a species-rich grassland: competition, facilitation and niche structure over a soil depth gradient",JOURNAL OF VEGETATION SCIENCE,26,10.1111/jvs.12283,2015
2016,6,"Martorell, Carlos; Montanana, Delfin M.; Ureta, Carolina; Mandujano, Maria C.","Assessing the importance of multiple threats to an endangered globose cactus in Mexico: Cattle grazing, looting and climate change",BIOLOGICAL CONSERVATION,181,10.1016/j.biocon.2014.10.035,2015
2016,7,"Ogburn, R. Matthew; Edwards, Erika J.",Life history lability underlies rapid climate niche evolution in the angiosperm clade Montiaceae,MOLECULAR PHYLOGENETICS AND EVOLUTION,92,10.1016/j.ympev.2015.06.006,2015
2016,8,"Pugnaire, Francisco I.; Zhang, Lin; Li, Ruicheng; Luo, Tianxiang",No evidence of facilitation collapse in the Tibetan plateau,JOURNAL OF VEGETATION SCIENCE,26,10.1111/jvs.12233,2015
2016,9,"Alvarez-Yepiz, Juan C.; Burquez, Alberto; Dovciak, Martin",Ontogenetic shifts in plant-plant interactions in a rare cycad within angiosperm communities,OECOLOGIA,175,10.1007/s00442-014-2929-3,2014
2016,10,"Carvajal, Danny E.; Loayza, Andrea P.; Lopez, Ramiro P.; Toro, Pablo J.; Squeo, Francisco A.",Growth and early seedling survival of four Atacama Desert shrub species under experimental light and water availability regimes,REVISTA CHILENA DE HISTORIA NATURAL,87,10.1186/s40693-014-0028-9,2014
2016,11,"Cipriotti, Pablo A.; Aguiar, Martin R.; Wiegand, Thorsten; Paruelo, Jose M.",A complex network of interactions controls coexistence and relative abundances in Patagonian grass-shrub steppes,JOURNAL OF ECOLOGY,102,10.1111/1365-2745.12246,2014
2016,12,"Gavish, Yoni; Kedem, Hadar; Messika, Irit; Cohen, Carmit; Toh, Evelyn; Munro, Daniel; Dong, Qunfeng; Fuqua, Clay; Clay, Keith; Hawlena, Hadas",Association of Host and Microbial Species Diversity across Spatial Scales in Desert Rodent Communities,PLOS ONE,9,10.1371/journal.pone.0109677,2014
2016,13,"Ignace, Danielle D.; Chesson, Peter",Removing an invader: evidence for forces reassembling a Chihuahuan Desert ecosystem,ECOLOGY,95,,2014
2016,14,"Jara-Arancio, Paola; Arroyo, Mary T. K.; Guerrero, Pablo C.; Hinojosa, Luis F.; Arancio, Gina; Mendez, Marco A.",Phylogenetic perspectives on biome shifts in Leucocoryne (Alliaceae) in relation to climatic niche evolution in western South America,JOURNAL OF BIOGEOGRAPHY,41,10.1111/jbi.12186,2014
2016,15,"Gross, Nicolas; Boerger, Luca; Soriano-Morales, Sara I.; Le Bagousse-Pinguet, Yoann; Quero, Jose L.; Garcia-Gomez, Miguel; Valencia-Gomez, Enrique; Maestre, Fernando T.",Uncovering multiscale effects of aridity and biotic interactions on the functional structure of Mediterranean shrublands,JOURNAL OF ECOLOGY,101,10.1111/1365-2745.12063,2013
2016,16,"Kulmatiski, Andrew; Beard, Karen H.",Woody plant encroachment facilitated by increased precipitation intensity,NATURE CLIMATE CHANGE,3,10.1038/NCLIMATE1904,2013
2016,17,"Peterson, Megan L.; Rice, Kevin J.; Sexton, Jason P.",Niche partitioning between close relatives suggests trade-offs between adaptation to local environments and competition,ECOLOGY AND EVOLUTION,3,10.1002/ece3.462,2013
2016,18,"Porceddu, Marco; Mattana, Efisio; Pritchard, Hugh W.; Bacchetta, Gianluigi",Thermal niche for in situ seed germination by Mediterranean mountain streams: model prediction and validation for Rhamnus persicifolia seeds,ANNALS OF BOTANY,112,10.1093/aob/mct238,2013
2016,19,"Schwinning, Susanne; Kelly, Colleen K.","Plant competition, temporal niches and implications for productivity and adaptability to climate change in water-limited environments",FUNCTIONAL ECOLOGY,27,10.1111/1365-2435.12115,2013
2016,20,"Luzuriaga, Arantzazu L.; Sanchez, Ana M.; Maestre, Fernando T.; Escudero, Adrian",Assemblage of a Semi-Arid Annual Plant Community: Abiotic and Biotic Filters Act Hierarchically,PLOS ONE,7,10.1371/journal.pone.0041270,2012
2016,21,"Martinez-Tilleria, Karina; Loayza, Andrea P.; Sandquist, Darren R.; Squeo, Francisco A.",No evidence of a trade-off between drought and shade tolerance in seedlings of six coastal desert shrub species in north-central Chile,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01427.x,2012
2016,22,"Soliveres, Santiago; Torices, Ruben; Maestre, Fernando T.",Environmental conditions and biotic interactions acting together promote phylogenetic randomness in semi-arid plant communities: new methods help to avoid misleading conclusions,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01410.x,2012
2016,23,"Butterfield, Bradley J.; Briggs, John M.",Regeneration niche differentiates functional strategies of desert woody plant species,OECOLOGIA,165,10.1007/s00442-010-1741-y,2011
2016,24,"He, Qiang; Cui, Baoshan; An, Yuan",The importance of facilitation in the zonation of shrubs along a coastal salinity gradient,JOURNAL OF VEGETATION SCIENCE,22,10.1111/j.1654-1103.2011.01300.x,2011
2016,25,"Higgins, Steven I.; Delgado-Cartay, Maria D.; February, Edmund C.; Combrink, Hendrik J.",Is there a temporal niche separation in the leaf phenology of savanna trees and grasses?,JOURNAL OF BIOGEOGRAPHY,38,10.1111/j.1365-2699.2011.02549.x,2011
